Date,Group True,,Group False,
9/15/2021,Welcome to CS Club,The Art of Computer Science,Welcome to CS Club,The Art of Computer Science
9/22/2021,Intro to Python,,The Magic of Compression,
9/29/2021,,,Compression challenge,
10/6/2021,,,Compression challenge,
10/12/2021,,,Test compression challenge programs,Minesweeper group project
10/19/2021,,,Intro to Competitive Programming,
10/26/2021,,,Libre software and Linux Memes,The terminal
11/2/2021,No school but you can join our Minecraft server!,,,
11/9/2021,No meeting :(,,,
11/18/2021,Intro to Python,,Cryptography by William Bender,
11/23/2021,No school but you can join our Minecraft server!,,,
11/30/2021,Web development with HTML/CSS/JS,,Oh My Git!,
12/7/2021,,,ACSL Contest #1 review,
12/15/2021,,,ACSL Bowl #1,ACSL Contest #1
12/21/2021,No meeting but you can join our Minecraft server!,,,
12/28/2021,No school and enjoy the holidays on our Minecraft server!,,,
1/4/2022,Web development with HTML/CSS/JS,,Going Virtual!,
1/11/2022,,,ACSL Contest #2 review,
1/19/2021,,,ACSL Bowl #2,ACSL Contest #2
1/25/2021,,,Learn exogit/GitHub by contributing to howtuwu!,Help develop OpenContest
2/1/2021,,,Password cracking,
2/8/2021,,,USACO January,
2/15/2021,,,ACSL Contest #3 review,
2/23/2021,No meeting,,,
3/2/2021,Web development with HTML/CSS/JS,,ACSL Bowl #3,ACSL Contest #3
3/8/2022,,,Making fake news bots,USACO February
3/15/2022,,,CI/CD,RNG
3/29/2021,Game development with Godot,,ACSL Contest #4 review,
4/6/2022,,,ACSL Bowl #4,ACSL Contest #4
4/12/2022,Minetest,,Minetest,
4/19/2022,Game development with Godot,,OverTheWire,
4/26/2022,,,Hacking consumer electronics,
5/3/2022,,,Buillding a supercomputer,
5/10/2022,,,Duecrypt cybersecurity contest,
5/17/2022,,,Learn exogit/GitHub by contributing to howtuwu!,
5/24/2022,Final Kahoot,Awards,Final Kahoot,Awards